timezone,temp,humidity,description
2025-02-19 05:41:08,0.76,29,clear sky
2025-02-19 05:41:42,0.76,29,clear sky
2025-02-19 05:49:59,0.76,29,clear sky
2025-02-19 05:58:03,0.76,29,clear sky
2025-02-19 06:36:32,1.76,25,clear sky
2025-02-19 06:43:01,1.76,25,clear sky
2025-02-19 06:51:04,1.76,25,clear sky
2025-02-19 06:59:14,1.76,25,clear sky
2025-02-19 07:27:30,-0.42,18,clear sky
2025-02-19 07:38:50,0.76,25,clear sky
2025-02-19 07:47:21,0.76,25,clear sky
2025-02-19 07:55:29,0.76,25,clear sky
2025-02-19 08:39:26,0.76,29,clear sky
2025-02-19 08:51:19,0.76,29,clear sky
2025-02-19 08:59:31,0.76,29,clear sky
2025-02-19 09:31:19,-1.24,29,clear sky
2025-02-19 09:41:22,-1.24,29,clear sky
2025-02-19 09:49:56,-1.24,29,clear sky
2025-02-19 09:58:24,-1.24,29,clear sky
2025-02-19 10:38:25,-3.24,39,clear sky
2025-02-19 10:47:00,-3.24,39,clear sky
